milieu,N,Age_mere_risque,Ordre_risque,Intervalle_risque,Pauvrete,Faible_educ,Grande_taille,Sexe_masculin
Rural,2985,19.9,15,17.5,76.5,48.4,6.3,0
Urbain,4324,20,9.6,15.6,29.4,25.1,2.2,0
